id,osmid,name,alt_name,light_pol,lat,lng
104,3556859,Unknown,17 Lasalle Boulevard,18.16354532,46.51509276,-80.99746618
105,3558125,Selkirk Park,Selkirk Park,19.9044348,46.51052385,-81.00044103
106,3568985,Unknown,Lasalle Boulevard,31.77660594,46.52244653,-80.98602304
107,3571089,McLean Playground,McLean Playground,36.99000168,46.52092832,-80.97836807
108,3603559,Westmount Playground,Westmount Playground,41.70772544,46.51078861,-80.94071685
109,3635256,Unknown,404 McNaughton Terrace,28.79999924,46.48254499,-80.98271992
110,3740296,Fielding Memorial Park,Fielding Memorial Park,6.905629587,46.42720797,-81.09490715
111,3781548,Davis Centre Quad,Davis Centre Quad,99.09999847,43.47248575,-80.54310515
112,3810768,Parkview Gardens Parkette,Parkview Gardens Parkette,33.34999847,43.65344834,-79.46942885
113,3816365,Blackfriar Park,Blackfriar Park,63.84999847,43.69502423,-79.5623893
114,3896308,Summerhill Park,Summerhill Park,30.52406363,46.51167197,-80.93139205
115,3902260,Nickel District Park,Nickel District Park,40.89268886,46.51821943,-80.92741961
116,3902377,Grassy Hill Park,Grassy Hill Park,38.75999832,46.51646904,-80.92932576
117,3933582,Pier 4 Park,Pier 4 Park,20.79413464,43.27326438,-79.86714316
118,3989810,East End Playground,East End Playground,14.35341738,46.48986706,-80.91111645
119,4009662,Autumnwood Playground,Autumnwood Playground,13.48624042,46.49139746,-80.92413462
120,4010797,Grace Sprots Field,Grace Sprots Field,20.23789529,46.48922651,-80.92980635
121,4059170,Korpela Park,Korpela Park,18.22011737,46.48541531,-80.93358778
122,4084205,Ridgemount Playground,Ridgemount Playground,14.02000046,46.49140982,-80.90094487
123,4133450,Dorset Tot Lot,Dorset Tot Lot,13.1235286,46.48657973,-80.91510154
124,4187898,Moonlight Beach Park,Moonlight Beach Park,2.240111329,46.47458825,-80.90936437
125,4187923,Camp Sudaca,Camp Sudaca,2.569999933,46.47148033,-80.91202057
126,4192851,Unknown,304 Lodor Street,19.75,43.22467193,-79.97569706
127,4799841,Underpass Park,Underpass Park,82.37999725,43.65565737,-79.35486936
128,5125534,Glen Elm,Glen Elm,46.86485982,43.49126178,-80.54271919
129,5500344,Victoria Park,Victoria Park,38.18873203,44.57042951,-80.9343798
130,5583949,Pottawatomi Conservation Area,Pottawatomi Conservation Area,10.26749997,44.56423195,-80.98044638
131,5694808,West Rocks Management Area,West Rocks Management Area,8.634285791,44.55529824,-80.95586644
132,5844478,Wasaga Beach Provincial Park,Wasaga Beach Provincial Park,4.155555525,44.51212436,-80.04139974
133,6046892,Queen's Park,Queen's Park,56.69410521,44.56457104,-80.94446161
134,6398338,Harrison Park,Harrison Park,5.442000008,44.54845502,-80.93604868
135,6552609,Jackson Park,Jackson Park,8.670000076,44.31508421,-78.34612325
136,6560328,Fisher Heights Park,Fisher Heights Park,22.27896524,45.36502501,-75.72113415
137,6845839,Unknown,1182 Priory Court,23.96763903,43.44503526,-79.71349044
138,6906683,Unknown,204 Hawthorne Street,20.9057214,43.97469539,-79.23926619
139,7156257,Madoc Memorial Park,Madoc Memorial Park,9.1987735,44.50554857,-77.46875827
140,7408581,Indian Falls Conservation Area,Indian Falls Conservation Area,0.900000036,44.62077201,-80.95060121
141,7824070,Fitzroy Harbour Community Centre and Campbell Bicentennial Park,Fitzroy Harbour Community Centre and Campbell Bicentennial Park,2.292311176,45.46959068,-76.20603815
142,7824353,Fallingbrook Park,Fallingbrook Park,38.88144845,45.48191853,-75.4897753
