osm_id,name,type,light_pol,lat,lng
"169662029",Unknown,leisure-park,54.9605355900,44.036258,-79.480899
"169669289",Unknown,leisure-park,74.5073428050,44.044496,-79.484358
"169723588",Unknown,leisure-park,61.3600797290,44.040654,-79.482818
"169723589",Unknown,leisure-park,38.7675374800,44.039623,-79.487708
"169728680",Unknown,leisure-park,15.4719814240,44.030783,-79.487022
"169745730",Unknown,leisure-park,120.5100021400,44.059975,-79.478509
"169848875",Unknown,leisure-park,81.6982332020,44.054887,-79.431115
"169851880",Ada Johnson Park,leisure-park,52.4408661780,44.020406,-79.443780
"169864301",Breithaupt Park,leisure-park,25.0550766230,43.469137,-80.495777
"169869264",Unknown,leisure-park,22.5052236150,43.403998,-80.414400
"169916319",Queensway Park,leisure-park,14.7564912390,44.360334,-79.607607
"169916963",Unknown,leisure-park,10.2299995420,44.323857,-79.546444
"169979894",Unknown,leisure-park,30.0900001530,43.411273,-80.500761
"169985698",Unknown,leisure-park,44.6736267130,43.421638,-80.470928
"169994699",Unknown,leisure-park,15.6546325750,44.046339,-79.153031
"170005041",Unknown,leisure-park,19.1700000760,43.477678,-79.686480
"170053748",Liberty Village Park,leisure-park,281.7707171900,43.638842,-79.414726
"170059109",Doon Creek Natural Area,leisure-park,24.3580423020,43.381524,-80.434280
"170059676",Dan Iannuzi Park,leisure-park,80.5800018310,43.765147,-79.505069
"170059678",Unknown,leisure-park,105.0599975600,43.768018,-79.496326
"170162928",Unknown,leisure-park,59.9099998470,43.623151,-79.512988
"170180003",Tremaine Park,leisure-park,18.8936928780,43.441374,-80.410116
"170234241",Unknown,leisure-park,61.9455605610,43.966243,-79.251588
"170235563",Whelers Mill Park,leisure-park,60.0840344450,43.959726,-79.263027
"170236863",Sunnyridge Park,leisure-park,37.4034969070,43.967900,-79.226539
"170237443",Unknown,leisure-park,30.6000003810,43.965423,-79.237098
"170238651",Unknown,leisure-park,13.9282940700,43.978650,-79.252430
"170239446",Unknown,leisure-park,29.0100002290,43.969666,-79.274948
